date,time,PM2.5,NOx,SO2,Hour,Month,Day,Year,windspeedKmph,winddirDegree,tempC,humidity,day
2017/1/1,0,49.1,31,0.5,0,1,1,2017,3,253,8,85,1
2017/1/1,100,94.8,29,0.5,1,1,1,2017,4,275,7,83,2
2017/1/1,200,105.4,25.1,0.4,2,1,1,2017,5,298,7,81,3
2017/1/1,300,95.6,24.1,0.4,3,1,1,2017,6,320,7,80,4
2017/1/1,400,86.5,21.4,0.5,4,1,1,2017,6,325,7,79,5
2017/1/1,500,75.6,22.4,0.5,5,1,1,2017,5,329,7,78,6
2017/1/1,600,93.8,20.3,0.9,6,1,1,2017,5,334,6,77,7
2017/1/1,700,109.3,19.3,0.7,7,1,1,2017,6,259,9,70,8
2017/1/1,800,80.6,22.7,1,8,1,1,2017,7,185,11,63,9
2017/1/1,900,37.3,15.5,1,9,1,1,2017,8,110,13,55,10
2017/1/1,1000,12.8,8.7,0.8,10,1,1,2017,10,142,13,55,11
2017/1/1,1100,9.5,4.6,0.9,11,1,1,2017,12,174,13,55,12
2017/1/1,1200,3.2,3.2,0.6,12,1,1,2017,14,205,13,55,13
2017/1/1,1300,9.4,4.2,0.5,13,1,1,2017,12,192,13,56,14
2017/1/1,1400,8.2,3.8,0.5,14,1,1,2017,10,179,14,58,15
2017/1/1,1500,13.8,2,0.5,15,1,1,2017,9,166,14,59,16
2017/1/1,1600,10.25,1.8,0.5,16,1,1,2017,7,150,12,66,17
2017/1/1,1700,6.7,3.2,0.5,17,1,1,2017,5,134,11,73,18
2017/1/1,1800,9.1,10.1,0.5,18,1,1,2017,4,118,9,80,19
2017/1/1,1900,14.1,23,0.4,19,1,1,2017,6,107,9,79,20
2017/1/1,2000,19.9,20.4,0.4,20,1,1,2017,8,96,9,79,21
2017/1/1,2100,16.5,16.2,0.4,21,1,1,2017,10,85,9,79,22
2017/1/1,2200,21.3,20.3,0.4,22,1,1,2017,10,89,9,80,23
2017/1/1,2300,25.2,26.3,0.4,23,1,1,2017,9,92,9,81,24
2017/1/2,0,35.4,25.9,0.4,0,1,2,2017,9,96,9,82,25
2017/1/2,100,26.5,24,0.5,1,1,2,2017,8,105,9,82,26
2017/1/2,200,27.7,23,0.5,2,1,2,2017,7,114,9,82,27
2017/1/2,300,24.9,22.4,0.7,3,1,2,2017,6,123,9,82,28
2017/1/2,400,8.7,19.6,0.8,4,1,2,2017,6,118,9,82,29
2017/1/2,500,13.6,19.1,0.5,5,1,2,2017,6,112,9,82,30
2017/1/2,600,9.2,22,0.5,6,1,2,2017,6,107,9,82,31
2017/1/2,700,6.9,21.5,0.5,7,1,2,2017,8,107,10,78,32
2017/1/2,800,9.6,16.1,0.5,8,1,2,2017,10,108,11,74,33
2017/1/2,900,6.4,7.3,0.4,9,1,2,2017,12,108,12,70,34
2017/1/2,1000,8.8,4.6,0.4,10,1,2,2017,11,127,12,68,35
2017/1/2,1100,2.9,4.5,0.4,11,1,2,2017,11,146,12,67,36
2017/1/2,1200,0.9,2.9,0.4,12,1,2,2017,10,165,12,65,37
2017/1/2,1300,2.5,0.5,0.3,13,1,2,2017,10,169,11,66,38
2017/1/2,1400,4.6,0.7,0.4,14,1,2,2017,9,173,11,67,39
2017/1/2,1500,7.3,1.7,0.5,15,1,2,2017,8,177,11,69,40
2017/1/2,1600,4.9,7.2,0.6,16,1,2,2017,6,161,11,72,41
2017/1/2,1700,4.7,10.4,0.5,17,1,2,2017,5,145,10,76,42
2017/1/2,1800,12.8,13.8,0.4,18,1,2,2017,3,129,10,80,43
2017/1/2,1900,7.1,12.6,0.3,19,1,2,2017,4,116,10,80,44
2017/1/2,2000,3.2,24.2,0.4,20,1,2,2017,5,103,9,79,45
2017/1/2,2100,10,35.3,0.5,21,1,2,2017,6,90,9,79,46
2017/1/2,2200,16,38,0.4,22,1,2,2017,6,83,9,79,47
2017/1/2,2300,17.7,32.9,0.4,23,1,2,2017,7,76,9,79,48
2017/1/3,0,28.3,32,0.4,0,1,3,2017,7,69,9,79,49
2017/1/3,100,25.3,30.6,0.4,1,1,3,2017,8,69,9,79,50
2017/1/3,200,27.2,27.7,0.3,2,1,3,2017,10,69,9,78,51
2017/1/3,300,26.6,27.1,0.3,3,1,3,2017,11,69,8,77,52
2017/1/3,400,24.5,29.9,0.5,4,1,3,2017,9,68,8,78,53
